,STRUCTURE_NUMBER_008,Rating_2011,Rating_2012,Rating_2013,Rating_2014,Rating_2015,Rating_2016,Rating_2017,Rating_2018,Rating_2019,Rating_2020
109,14046,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
110,14047,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0
111,14048,7.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0
112,14049,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0
113,14050,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0
114,14051,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
115,14052,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0
116,14053,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
117,14054,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
118,14055,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
119,14056,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
120,14059,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
121,14060,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0
122,14061,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
123,14062,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0
124,14063,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
125,14064,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
126,14065,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
127,14066,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
128,14067,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
129,14068,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
130,14069,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
131,14070,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
132,14071,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
133,14072,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0
134,14073,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0
135,14074,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
136,14075,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
137,14076,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
138,14077,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
139,14080,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
